rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
24,Jazzmyn Capó & María Castro,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,23 (417KG),20 (8.278KM),27 (18:46),,,,,,70
25,Caitlyn Simpson & Lauren Waterhouse,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,22 (431KG),28 (8.097KM),23 (18:31),,,,,,73
26,Irene Sanz & Cristina Cabello,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,31 (394KG),18 (8.299KM),25 (18:43),,,,,,74
27,Nuria Grimalt Muntaner & Elisa Tur Rodriguez,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,26 (411KG),34 (7.883KM),17 (17:08),,,,,,77
28,Annabel Keith & Yasmin Billimoria,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,28 (405KG),31 (7.985KM),22 (18:23),,,,,,81
29,Sophia Pizzimenti & Aimie Neyland,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,5 (496KG),40 (7.384KM),37 (20:59),,,,,,82
30,Susana Ruiz & Maria Bermejo Galindo,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,25 (412KG),37 (7.704KM),23 (18:31),,,,,,85
31,Rute Veríssimo & Joana Rijo,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,34 (379KG),21 (8.268KM),31 (19:28),,,,,,86
31,Lea Scharr & Alexandra Bayer,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,38 (353KG),22 (8.257KM),26 (18:45),,,,,,86
33,Amanda Burton & Leonie Borland,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,33 (386KG),25 (8.138KM),32 (19:34),,,,,,90
34,Ana Cano & Deborah rodiel Aragon,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,40 (342KG),23 (8.256KM),36 (20:35),,,,,,99
35,Sandra Vidal Navarro & Sandra Romero,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,41 (341KG),32 (7.949KM),28 (18:54),,,,,,101
36,Sharon Virdi & Aleksandra Ongley,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,32 (389KG),38 (7.61KM),34 (19:57),,,,,,104
36,angel Tam & Hannah Cufflin,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,39 (352KG),27 (8.111KM),38 (21:27),,,,,,104
38,Chiara Blair & Sophie Cox,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,35 (378KG),33 (7.91KM),41 (24:44),,,,,,109
38,Lauren Barker & Mira Bedda,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,36 (376KG),39 (7.577KM),34 (19:57),,,,,,109
40,Paula Jimenez & Cristina Jimenez,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,37 (355KG),35 (7.851KM),39 (21:31),,,,,,111
41,Luna Dueñas & Lucía Correal,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,29 (403KG),42 (6.61KM),42 (25:00),,,,,,113
42,Erin Hughes & Lubna Osmani,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX,Overall,42 (272KG),41 (7.069KM),40 (23:38),,,,,,123
1,Leanne Beeby & Helen Colton,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,MetCon X,,,14:38,,,,,,1
2,Klaudia Lipka & Isabel Benito Diaz,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,MetCon X,,,15:47,,,,,,2
3,Lorena Díaz López & Laura Fuentes,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,MetCon X,,,16:13,,,,,,3
4,Bianca Ghimpu & Georgia Cornell,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,MetCon X,,,16:38,,,,,,4
5,Sandra Sieira & Esther Coll,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,MetCon X,,,17:42,,,,,,5
6,Estefanía Arroyo Martín & Rocío Gomez Pimpollo,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,MetCon X,,,19:07,,,,,,6
7,Cristina Cáceres Montero & MALENA FERNANDEZ TORRES,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,MetCon X,,,19:55,,,,,,7
8,Mercedes Britton & Channelle Houston,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,MetCon X,,,21:50,,,,,,8
9,Jacqueline Abesamis & Ana Blanco Marconi,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,MetCon X,,,22:30,,,,,,9
1,Rodrigo Couto & Duarte Carvalho,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,12 (837KG),3 (10.382KM),1 (13:36),,,,,,16
2,Stefano Zucchiatti & luca calandrino,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,1 (968KG),15 (9.764KM),4 (14:14),,,,,,20
3,Javi Rodriguez Royo & Bryan Rafael Vera Loor,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,3 (956KG),12 (9.828KM),8 (15:04),,,,,,23
4,Alberto M Arcas & Raul Andres,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,6 (883KG),16 (9.728KM),2 (13:58),,,,,,24
5,Alberto Alcala Gimeno & Andrés Calomarde Randez,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,10 (847KG),5 (10.202KM),10 (15:37),,,,,,25
6,Alejandro Cerrejon & Abdullah Ghayesh,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,19 (738KG),1 (10.666KM),6 (14:31),,,,,,26
7,Sam Morris & Bevan Jay,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,2 (965KG),13 (9.817KM),12 (15:42),,,,,,27
8,Tom Vanhee & Maurin Heid,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,13 (830KG),14 (9.794KM),3 (14:10),,,,,,30
9,Leonardo Costa & Fabio Silva,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,4 (947KG),18 (9.703KM),9 (15:20),,,,,,31
10,Oscar Segura & Ivan Calavera,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,11 (841KG),21 (9.593KM),5 (14:15),,,,,,37
11,Pelayo Menendez Fernandez & Mario Mairena Eriksson,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,9 (850KG),8 (10.097KM),21 (17:59),,,,,,38
12,Alvaro Sevilla & Carles De Oleza,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,16 (793KG),4 (10.241KM),19 (17:10),,,,,,39
12,Ruben Peris Aragones & JORGE FERNANDEZ,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,8 (852KG),24 (9.346KM),7 (14:43),,,,,,39
14,Tim Ufermann & Fabio mancuso.f@t-online.de,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,23 (715KG),2 (10.452KM),15 (16:13),,,,,,40
15,Ander García Aguirre & Javier Ruiz Valero,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,19 (738KG),9 (10.007KM),13 (15:51),,,,,,41
16,Daniel Carbonell Fresquet & David Baudes,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,17 (780KG),7 (10.115KM),18 (17:04),,,,,,42
17,Jason hart & Conor Mairs,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,5 (925KG),17 (9.727KM),22 (18:16),,,,,,44
18,ALBERTO SERRANO & David Fernández,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,21 (736KG),10 (9.992KM),16 (16:31),,,,,,47
19,Arthur Estellet & Nicolas Fruchart,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,14 (807KG),11 (9.874KM),23 (18:19),,,,,,48
19,Beñat Seminario & Arai Zurbano,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,15 (803KG),19 (9.619KM),14 (15:52),,,,,,48
19,Juan Sanz & Antoine Audic,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,25 (685KG),6 (10.15KM),17 (16:54),,,,,,48
22,Marcos Millanes fernandez & Juan carlos De Miguel Domingo,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,18 (773KG),20 (9.604KM),11 (15:41),,,,,,49
23,Ricardo Salamanca & Javier Gomez Cappa,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,7 (855KG),27 (7.956KM),24 (19:17),,,,,,58
24,Daniel Ortiz Alamán & Victor Perales Balaguer,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,22 (721KG),22 (9.482KM),25 (21:50),,,,,,69
24,Ignacio Rodríguez & Jonathan Aras,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,24 (709KG),25 (8.987KM),20 (17:53),,,,,,69
26,Hervé BRARD & Arnaud Brard,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,27 (655KG),23 (9.387KM),27 (26:15),,,,,,77
27,Joan Amomo & Imad Bouakka Aissaoui,ATHX MADRID 2026,Spain 🇪🇸,2026,Male,ATHX Pro,Overall,26 (675KG),26 (8.836KM),26 (25:41),,,,,,78
1,Mário Sul & Cláudia Dias,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,12:30,,,,,,1
2,Emma Villacampa & Asis Zubiaur,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,13:03,,,,,,2
3,patricia Moreno sanchez & Eneko Hernandez Valiente,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,13:35,,,,,,3
4,Ana Berzosa & Jesús Cordón Caballero,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,13:40,,,,,,4
5,Marco Grieco & Anna Grieco,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,13:57,,,,,,5
6,Acaymo Figuera Perez & Claudia Crespo Fernández,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,14:29,,,,,,6
7,Miguel Alonso Daganzo & Yanilu Rodriguez-Prieto,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,14:50,,,,,,7
8,Adriana Marquez & Aitor Díaz-Cacho Garcia,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,15:38,,,,,,8
9,Jose Carlos Brioso Fernández & Malvina Costela,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,15:47,,,,,,9
10,Ianira Valdebenito Saavedra & Pablo Rodríguez Gómez,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,16:53,,,,,,10
11,Xavi Toll & Claudia Costafreda,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,16:55,,,,,,11
12,Juan Luis Lavado Aguilar & Inés García,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,17:00,,,,,,12
13,Sara de la Fuente Sepulveda & Arturo Villaverde,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,18:15,,,,,,13
14,Lizbeth Zayani Sanchez & Ismael Blasco Barrera,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,MetCon X,,,20:14,,,,,,14
1,Klaudia Lipka & Isabel Benito Diaz,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Endurance,,,,,,,2.916KM,4.77KM,1
2,Leanne Beeby & Helen Colton,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Endurance,,,,,,,3KM,4.374KM,2
3,Bianca Ghimpu & Georgia Cornell,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Endurance,,,,,,,3.003KM,4.141KM,3
4,Lorena Díaz López & Laura Fuentes,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Endurance,,,,,,,2.64KM,4.38KM,4
5,Sandra Sieira & Esther Coll,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Endurance,,,,,,,2.666KM,4.256KM,5
6,Estefanía Arroyo Martín & Rocío Gomez Pimpollo,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Endurance,,,,,,,3.094KM,3.813KM,6
7,Jacqueline Abesamis & Ana Blanco Marconi,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Endurance,,,,,,,3KM,3.631KM,7
8,Mercedes Britton & Channelle Houston,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Endurance,,,,,,,2KM,3.959KM,8
9,Cristina Cáceres Montero & MALENA FERNANDEZ TORRES,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Endurance,,,,,,,3KM,1KM,9
1,Elisah HUGUET & Amaia Darrigues,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Pro,MetCon X,,,17:37,,,,,,1
1,Miguel Alonso Daganzo & Yanilu Rodriguez-Prieto,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,4.515KM,4.652KM,1
2,Emma Villacampa & Asis Zubiaur,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,4KM,4.847KM,2
3,Acaymo Figuera Perez & Claudia Crespo Fernández,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.718KM,4.744KM,3
4,Marco Grieco & Anna Grieco,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.392KM,5.047KM,4
5,Ana Berzosa & Jesús Cordón Caballero,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.605KM,4.799KM,5
6,Mário Sul & Cláudia Dias,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.264KM,4.87KM,6
7,Jose Carlos Brioso Fernández & Malvina Costela,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.646KM,4.462KM,7
8,Juan Luis Lavado Aguilar & Inés García,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.21KM,4.856KM,8
9,Ianira Valdebenito Saavedra & Pablo Rodríguez Gómez,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.408KM,4.532KM,9
10,patricia Moreno sanchez & Eneko Hernandez Valiente,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.76KM,4.177KM,10
11,Xavi Toll & Claudia Costafreda,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.364KM,4.37KM,11
12,Lizbeth Zayani Sanchez & Ismael Blasco Barrera,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.164KM,4.209KM,12
13,Sara de la Fuente Sepulveda & Arturo Villaverde,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.676KM,3.651KM,13
1,Lorena Díaz López & Laura Fuentes,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Strength,,,,88KG,153KG,215KG,,,1
2,Bianca Ghimpu & Georgia Cornell,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Strength,,,,77KG,150KG,195KG,,,2
3,Klaudia Lipka & Isabel Benito Diaz,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Strength,,,,69KG,147KG,173KG,,,3
4,Leanne Beeby & Helen Colton,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Strength,,,,72KG,135KG,170KG,,,4
5,Sandra Sieira & Esther Coll,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Strength,,,,65KG,137KG,174KG,,,5
6,Mercedes Britton & Channelle Houston,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Strength,,,,70KG,133KG,165KG,,,6
7,Estefanía Arroyo Martín & Rocío Gomez Pimpollo,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Strength,,,,61KG,120KG,170KG,,,7
8,Cristina Cáceres Montero & MALENA FERNANDEZ TORRES,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Strength,,,,55KG,90KG,136KG,,,8
9,Jacqueline Abesamis & Ana Blanco Marconi,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Strength,,,,45KG,110KG,115KG,,,9
1,Elisah HUGUET & Amaia Darrigues,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Pro,Endurance,,,,,,,3.734KM,4.902KM,1
1,Mário Sul & Cláudia Dias,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,110KG,225KG,295KG,,,1
2,Ana Berzosa & Jesús Cordón Caballero,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,97KG,185KG,245KG,,,2
3,Emma Villacampa & Asis Zubiaur,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,100KG,170KG,220KG,,,3
4,Miguel Alonso Daganzo & Yanilu Rodriguez-Prieto,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,98KG,185KG,205KG,,,4
5,Marco Grieco & Anna Grieco,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,98KG,170KG,205KG,,,5
6,Lizbeth Zayani Sanchez & Ismael Blasco Barrera,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,88KG,165KG,193KG,,,6
7,Adriana Marquez & Aitor Díaz-Cacho Garcia,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,92KG,160KG,190KG,,,7
8,patricia Moreno sanchez & Eneko Hernandez Valiente,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,92KG,158KG,190KG,,,8
9,Juan Luis Lavado Aguilar & Inés García,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,73KG,155KG,200KG,,,9
10,Jose Carlos Brioso Fernández & Malvina Costela,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,76KG,160KG,185KG,,,10
11,Acaymo Figuera Perez & Claudia Crespo Fernández,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,85KG,135KG,200KG,,,11
12,Ianira Valdebenito Saavedra & Pablo Rodríguez Gómez,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,85KG,132KG,169KG,,,12
13,Xavi Toll & Claudia Costafreda,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,68KG,115KG,150KG,,,13
14,Sara de la Fuente Sepulveda & Arturo Villaverde,ATHX MADRID 2026,Spain 🇪🇸,2026,Mixed,ATHX Lite,Strength,,,,77KG,104KG,130KG,,,14
1,Klaudia Lipka & Isabel Benito Diaz,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Overall,3 (389KG),1 (7.686KM),2 (15:47),,,,,,6
2,Leanne Beeby & Helen Colton,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Overall,4 (377KG),2 (7.374KM),1 (14:38),,,,,,7
3,Lorena Díaz López & Laura Fuentes,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Overall,1 (456KG),4 (7.02KM),3 (16:13),,,,,,8
4,Bianca Ghimpu & Georgia Cornell,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Overall,2 (422KG),3 (7.144KM),4 (16:38),,,,,,9
5,Sandra Sieira & Esther Coll,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Overall,5 (376KG),5 (6.922KM),5 (17:42),,,,,,15
6,Estefanía Arroyo Martín & Rocío Gomez Pimpollo,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Overall,7 (351KG),6 (6.907KM),6 (19:07),,,,,,19
7,Mercedes Britton & Channelle Houston,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Overall,6 (368KG),8 (5.959KM),8 (21:50),,,,,,22
8,Cristina Cáceres Montero & MALENA FERNANDEZ TORRES,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Overall,8 (281KG),9 (4KM),7 (19:55),,,,,,24
9,Jacqueline Abesamis & Ana Blanco Marconi,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Lite,Overall,9 (270KG),7 (6.631KM),9 (22:30),,,,,,25
1,Elisah HUGUET & Amaia Darrigues,ATHX MADRID 2026,Spain 🇪🇸,2026,Female,ATHX Pro,Strength,,,,101KG,220KG,230KG,,,1
