rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,Rosa Magnani & Federica Moscatelli,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,13:46,,,,,,1
2,Nicole Malanowicz & Isabel Fugmann,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,15:05,,,,,,2
3,Mette Schneefeldt & Gine Nielsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,15:15,,,,,,3
4,Maja Pedersen & Rie Hansen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,16:55,,,,,,4
5,Andreza Coelho de Jesus & Josefine Gylden,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,19:15,,,,,,5
6,Hanna Draxl & Lisa Kogler,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,19:39,,,,,,6
7,Cristina Mora & Meghan Higgins,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,19:59,,,,,,7
8,Anne-Marie Friborg & Annine Holmegaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,20:55,,,,,,8
9,Victoria vicfullwood@gmail.com & Louise Kateley,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,21:10,,,,,,9
10,Emina Kösger & Sultan Atalay,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,21:15,,,,,,10
11,Elsa Morandat & Bossba Benghongsiela,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,21:40,,,,,,11
12,Jette Dall Andersen & Iben Andersen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,MetCon X,,,24:36,,,,,,12
1,Anna Nissen & Line Christiansen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,14:20,,,,,,1
2,Alberte Martensson & Emma Mårtensson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,15:02,,,,,,2
3,Sofie Høj & Milla Leander,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,15:29,,,,,,3
4,Mia Furu & Frederikke Mollerup,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,15:46,,,,,,4
5,Pernille Brogaard Pedersen & Camilla Brogaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,15:59,,,,,,5
6,Nicole Ciecierska & Sabrine Barakji,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,16:33,,,,,,6
7,Freja Froberg & Katrine Thirup Jørgensen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,16:35,,,,,,7
8,Kajsa Sundqvist & Sara Hovrevik,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,16:51,,,,,,8
9,Anne Katrine Kiilgaard & Signe Harbo,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,16:54,,,,,,9
10,Line Jensen & Anna Møller,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,18:07,,,,,,10
11,Camila De la peña & Agustina Contreras,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,18:19,,,,,,11
12,Laura Scharff & Freja Lehmann Jensen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,18:35,,,,,,12
13,Signe Helen Rogne & Kine Karlsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,MetCon X,,,19:24,,,,,,13
